Unnamed: 0,searchq,date,T_flag,cart,click,seen,Unique_session_id,Unique_session_id_clicked,new_interval,Clickrate,Clickrate_total
110.0,3second,2021-09-15,18,0,0,0,0,0,2021-09-15 18:00:00,0.0,0.0
111.0,3second,2021-09-15,21,0,3,79,2,1,2021-09-15 21:00:00,50.0,3.8
112.0,3second,2021-09-16,0,0,0,0,0,0,2021-09-16 00:00:00,0.0,0.0
113.0,3second,2021-09-16,3,0,1,16,1,1,2021-09-16 03:00:00,100.0,6.25
114.0,3second,2021-09-16,6,0,1,16,1,1,2021-09-16 06:00:00,100.0,6.25
115.0,3second,2021-09-16,9,0,0,16,1,0,2021-09-16 09:00:00,0.0,0.0
116.0,3second,2021-09-16,12,0,1,48,2,1,2021-09-16 12:00:00,50.0,2.08
117.0,3second,2021-09-16,15,0,7,272,9,5,2021-09-16 15:00:00,55.56,2.57
118.0,3second,2021-09-16,18,0,0,16,1,0,2021-09-16 18:00:00,0.0,0.0
119.0,3second,2021-09-16,21,0,0,49,1,0,2021-09-16 21:00:00,0.0,0.0
120.0,3second,2021-09-17,0,0,3,112,5,2,2021-09-17 00:00:00,40.0,2.68
121.0,3second,2021-09-17,3,0,2,48,1,1,2021-09-17 03:00:00,100.0,4.17
122.0,3second,2021-09-17,6,0,2,48,1,1,2021-09-17 06:00:00,100.0,4.17
123.0,3second,2021-09-17,9,0,0,32,1,0,2021-09-17 09:00:00,0.0,0.0
124.0,3second,2021-09-17,12,0,1,32,2,1,2021-09-17 12:00:00,50.0,3.12
125.0,3second,2021-09-17,15,0,0,32,2,0,2021-09-17 15:00:00,0.0,0.0
126.0,3second,2021-09-17,18,0,2,64,1,1,2021-09-17 18:00:00,100.0,3.12
127.0,3second,2021-09-17,21,0,0,48,1,0,2021-09-17 21:00:00,0.0,0.0
128.0,3second,2021-09-18,0,0,0,0,0,0,2021-09-18 00:00:00,0.0,0.0
129.0,3second,2021-09-18,3,0,5,80,4,2,2021-09-18 03:00:00,50.0,6.25
130.0,3second,2021-09-18,6,0,0,32,2,0,2021-09-18 06:00:00,0.0,0.0
131.0,3second,2021-09-18,9,0,0,0,0,0,2021-09-18 09:00:00,0.0,0.0
132.0,3second,2021-09-18,12,0,0,32,2,0,2021-09-18 12:00:00,0.0,0.0
133.0,3second,2021-09-18,15,0,1,32,2,1,2021-09-18 15:00:00,50.0,3.12
134.0,3second,2021-09-18,18,0,0,0,0,0,2021-09-18 18:00:00,0.0,0.0
135.0,3second,2021-09-18,21,0,3,128,2,2,2021-09-18 21:00:00,100.0,2.34
136.0,3second,2021-09-19,0,0,0,32,2,0,2021-09-19 00:00:00,0.0,0.0
137.0,3second,2021-09-19,3,0,0,32,2,0,2021-09-19 03:00:00,0.0,0.0
138.0,3second,2021-09-19,6,0,0,32,1,0,2021-09-19 06:00:00,0.0,0.0
139.0,3second,2021-09-19,9,0,1,32,1,1,2021-09-19 09:00:00,100.0,3.12
